InventoryId,Store,City,Brand,Description,Size,onHand,Price,endDate
74_PAENTMARWY_13792,74,PAENTMARWY,13792,The Wolftrap Syrah Vio Mourv,750mL,15,8.99,2024-12-31
23_ARBINGTON_14240,23,ARBINGTON,14240,Ninety+Cellars Lot 2 Svgn Bl,750mL,31,8.99,2024-12-31
66_EANVERNESS_3745,66,EANVERNESS,3745,Taaka Vodka Traveler,750mL,37,4.99,2024-12-31
42_BLACK HOLLOW_6249,42,BLACK HOLLOW,6249,Rodney Strong Chard,750mL,71,10.95,2024-12-31
22_SHARNWICK_1148,22,SHARNWICK,1148,Old New England Egg Nog,750mL,0,6.99,2024-12-31
49_GARIGILL_41912,49,GARIGILL,41912,Matua Pnt Nr Marlboro,750mL,8,12.99,2024-12-31
23_ARBINGTON_28548,23,ARBINGTON,28548,St Francis Old Vines Znfdl,750mL,9,15.99,2024-12-31
69_MOUNTMEND_3610,69,MOUNTMEND,3610,Smirnoff Cranberry Vodka,750mL,14,10.99,2024-12-31
8_ALNERWICK_3606,8,ALNERWICK,3606,Smirnoff Raspberry Vodka,50mL,132,0.99,2024-12-31
27_MOUNTMEND_12368,27,MOUNTMEND,12368,Vina Zaco Tempranillo Rioja,750mL,14,11.99,2024-12-31
2_ASHBORNE_8048,2,ASHBORNE,8048,Coole Swan Irish Cream,750mL,6,24.99,2024-12-31
74_PAENTMARWY_8781,74,PAENTMARWY,8781,Rodney Strong Cab Svgn,750mL,13,16.99,2024-12-31
37_PAETHSMOUTH_7936,37,PAETHSMOUTH,7936,Bayou Spiced Rum,50mL,72,0.99,2024-12-31
7_STANMORE_22629,7,STANMORE,22629,Ryan Patrick Ryan's Rsl,750mL,3,10.99,2024-12-31
55_DRY GULCH_4334,55,DRY GULCH,4334,Casa Noble Blanco Crystal,750mL,12,34.99,2024-12-31
21_BALERNO_35123,21,BALERNO,35123,Terrabianca Campaccia,750mL,12,31.99,2024-12-31
75_BARNCOMBE_7956,75,BARNCOMBE,7956,Bayou Satsuma Rum Liqueur,50mL,92,0.99,2024-12-31
32_MOUNTMEND_5661,32,MOUNTMEND,5661,Dr McGillicuddy's Root Beer,750mL,47,13.99,2024-12-31
79_BALLYMENA_5125,79,BALLYMENA,5125,DeKuyper Anisette,750mL,13,7.99,2024-12-31
32_MOUNTMEND_8171,32,MOUNTMEND,8171,Leroux Blackberry Brandy,50mL,111,0.99,2024-12-31
14_BROMWICH_4494,14,BROMWICH,4494,Jenkins French Brandy,1.75L,11,14.99,2024-12-31
42_BLACK HOLLOW_4724,42,BLACK HOLLOW,4724,Patron Citronge Lime Liqueur,750mL,9,20.99,2024-12-31
16_LUNDY_3894,16,LUNDY,3894,Zhenka Vodka 100 Proof,1.75L,13,11.99,2024-12-31
69_MOUNTMEND_1870,69,MOUNTMEND,1870,Oban Distiller's Edition,750mL,7,79.99,2024-12-31
7_STANMORE_5680,7,STANMORE,5680,Barenjager Honey Liqueur,50mL,0,1.99,2024-12-31
30_CULCHETH_42422,30,CULCHETH,42422,Firesteed Pnt Nr Ore,750mL,63,12.99,2024-12-31
25_CAERSHIRE_6574,25,CAERSHIRE,6574,Franzia Tap Wh Znfdl Cal,5L,7,17.99,2024-12-31
19_WINTERVALE_46021,19,WINTERVALE,46021,Spellbound Cab Svgn Cal,750mL,18,12.99,2024-12-31
66_EANVERNESS_5669,66,EANVERNESS,5669,Fabrizia Blood Orange,750mL,82,16.99,2024-12-31
74_PAENTMARWY_8725,74,PAENTMARWY,8725,Chambord Royale de France,375mL,41,15.99,2024-12-31
22_SHARNWICK_16669,22,SHARNWICK,16669,Sweet Baby Vyds Blueberry,750mL,11,12.99,2024-12-31
4_EANVERNESS_1180,4,EANVERNESS,1180,Evan Williams Black Label B,1.75L,31,20.99,2024-12-31
38_GOULCREST_16393,38,GOULCREST,16393,Alamos Red Mendoza,750mL,59,9.99,2024-12-31
50_MOUNTMEND_18747,50,MOUNTMEND,18747,Ca'Momi Rosso di Napa,750mL,13,9.99,2024-12-31
76_DONCASTER_42766,76,DONCASTER,42766,14 Hands Merlot Wash,750mL,73,8.99,2024-12-31
38_GOULCREST_20992,38,GOULCREST,20992,Les Hauts de Lagarde Rouge,750mL,28,10.99,2024-12-31
59_CLAETHORPES_1093,59,CLAETHORPES,1093,Old St Andrew 3 Mini Barrels,50mL 3 Pk,4,24.99,2024-12-31
25_CAERSHIRE_5197,25,CAERSHIRE,5197,Southern Comfort,375mL,27,7.99,2024-12-31
41_LARNWICK_45090,41,LARNWICK,45090,Norton Malbec Mendoza,750mL,10,11.99,2024-12-31
24_PALPERROTH_14240,24,PALPERROTH,14240,Ninety+Cellars Lot 2 Svgn Bl,750mL,33,8.99,2024-12-31
69_MOUNTMEND_24297,69,MOUNTMEND,24297,Motto Cab Svgn Backbone,750mL,9,10.99,2024-12-31
49_GARIGILL_2230,49,GARIGILL,2230,Egan's Single Malt Irish Wh,750mL,11,34.49,2024-12-31
1_HARDERSFIELD_4899,1,HARDERSFIELD,4899,Clement Mahina Coco Liqueur,750mL,2,18.99,2024-12-31
48_NORFOLK_3790,48,NORFOLK,3790,Don Julio Blanco Tequila,750mL,8,46.99,2024-12-31
18_FURNESS_3512,18,FURNESS,3512,Pinnacle Vodka,1.75L,33,15.99,2024-12-31
11_CARDEND_3556,11,CARDEND,3556,Hard Rock Vodka,1.75L,9,12.99,2024-12-31
81_PEMBROKE_4522,81,PEMBROKE,4522,Lairds Apple Jack,750mL,15,15.99,2024-12-31
61_AETHELNEY_6596,61,AETHELNEY,6596,Kenwood Svgn Bl Sonoma,750mL,18,10.99,2024-12-31
47_PELLA'S WISH_4066,47,PELLA'S WISH,4066,Bacardi Oakheart Spiced Rum,1.75L,12,19.99,2024-12-31
63_SWORDBREAK_2045,63,SWORDBREAK,2045,Monkey 47 Dry Gin,375mL,5,37.99,2024-12-31
77_TAMWORTH_12757,77,TAMWORTH,12757,Graffigna Centenario Pnt Gri,750mL,10,9.99,2024-12-31
38_GOULCREST_33348,38,GOULCREST,33348,Greg Norman Limestone Shiraz,750mL,20,10.99,2024-12-31
44_PORTHCRAWL_7867,44,PORTHCRAWL,7867,Tooters Red-diculous 15 Pk,375mL,1,8.99,2024-12-31
68_SOLARIS_28223,68,SOLARIS,28223,Ch Ste Michelle Canoe Rdge C,750mL,8,15.99,2024-12-31
7_STANMORE_3709,7,STANMORE,3709,Aslanoff Vodka,1.75L,24,13.99,2024-12-31
53_HILLFAR_2899,53,HILLFAR,2899,Laphroiag Select Single Malt,750mL,2,44.99,2024-12-31
51_ABERDEEN_6742,51,ABERDEEN,6742,Rodney Strong Chalk Hill Cha,750mL,18,16.99,2024-12-31
79_BALLYMENA_3394,79,BALLYMENA,3394,Blue Nectar Silver Tequila,750mL,3,29.99,2024-12-31
33_HORNSEY_7279,33,HORNSEY,7279,Yago Sant'Gria Red,1.5L,12,7.99,2024-12-31
76_DONCASTER_36200,76,DONCASTER,36200,Four Vines Old Vine Zin,750mL,11,11.99,2024-12-31
37_PAETHSMOUTH_8236,37,PAETHSMOUTH,8236,Jim Beam,50mL,69,1.49,2024-12-31
25_CAERSHIRE_3791,25,CAERSHIRE,3791,Jose Cuervo Especial Silver,375mL,10,10.99,2024-12-31
67_EANVERNESS_5491,67,EANVERNESS,5491,Rumpleminze,50mL,67,1.99,2024-12-31
23_ARBINGTON_6574,23,ARBINGTON,6574,Franzia Tap Wh Znfdl Cal,5L,12,17.99,2024-12-31
2_ASHBORNE_8421,2,ASHBORNE,8421,Beringer Classic Wh Znfdl,750mL,20,6.99,2024-12-31
79_BALLYMENA_7917,79,BALLYMENA,7917,Tooters Ala-Bama Slama 15 Pk,375mL,11,8.99,2024-12-31
55_DRY GULCH_4298,55,DRY GULCH,4298,Bacardi Raspberry Rum,50mL,13,0.99,2024-12-31
14_BROMWICH_38441,14,BROMWICH,38441,Toasted Head Cab Svgn,750mL,12,9.99,2024-12-31
40_BULLMAR_3780,40,BULLMAR,3780,Three Olives Raspberry Vodk,750mL,7,14.99,2024-12-31
58_HARTLEPOOL_3791,58,HARTLEPOOL,3791,Jose Cuervo Especial Silver,375mL,10,10.99,2024-12-31
81_PEMBROKE_24049,81,PEMBROKE,24049,Ozeki Hana Awaka Sprkl Sake,250mL,7,8.99,2024-12-31
61_AETHELNEY_16794,61,AETHELNEY,16794,Freakshow Cab Svgn,750mL,55,17.99,2024-12-31
55_DRY GULCH_12109,55,DRY GULCH,12109,La Crema Pnt Nr Monterey,750mL,31,18.99,2024-12-31
4_EANVERNESS_2756,4,EANVERNESS,2756,Jameson Caskmates,750mL,38,29.99,2024-12-31
51_ABERDEEN_26821,51,ABERDEEN,26821,Estancia Merlot Central Cst,750mL,20,9.99,2024-12-31
76_DONCASTER_5205,76,DONCASTER,5205,Don Felix Plata Tequila,750mL,9,33.99,2024-12-31
14_BROMWICH_3489,14,BROMWICH,3489,Tanqueray,1.75L,54,27.99,2024-12-31
33_HORNSEY_44362,33,HORNSEY,44362,Cusumano Nero D'Avola Sicily,750mL,2,10.99,2024-12-31
23_ARBINGTON_3528,23,ARBINGTON,3528,Don Felix Anejo Tequila,750mL,6,40.99,2024-12-31
73_DONCASTER_8258,73,DONCASTER,8258,Campari,750mL,13,29.99,2024-12-31
26_KNIFE'S EDGE_3726,26,KNIFE'S EDGE,3726,Gilbeys Vodka Traveler,750mL,15,4.99,2024-12-31
71_CLARCTON_27835,71,CLARCTON,27835,Wild Horse CC Pnt Nr,750mL,3,15.99,2024-12-31
46__3612,46,,3612,Taaka Vodka,1.75L,0,8.99,2024-12-31
21_BALERNO_21861,21,BALERNO,21861,Diseno Red Blend Mendoza,750mL,11,11.99,2024-12-31
68_SOLARIS_6267,68,SOLARIS,6267,Kinky Gold Liqueur,750mL,16,16.99,2024-12-31
67_EANVERNESS_27233,67,EANVERNESS,27233,Turning Leaf RSV Merlot Cal,750mL,19,5.99,2024-12-31
79_BALLYMENA_12212,79,BALLYMENA,12212,Black Box Svgn Bl,3L,6,18.99,2024-12-31
62_KILMARNOCK_7718,62,KILMARNOCK,7718,Andre Pink,750mL,33,5.49,2024-12-31
50_MOUNTMEND_44712,50,MOUNTMEND,44712,Sonoma-Cutrer Chard Sonoma,750mL,14,20.99,2024-12-31
38_GOULCREST_5525,38,GOULCREST,5525,Fernet-Branca Italian Liquer,750mL,7,24.99,2024-12-31
36_LEWES_5212,36,LEWES,5212,Margaritaville Silver,1.75L,7,19.99,2024-12-31
81_PEMBROKE_6647,81,PEMBROKE,6647,Estancia Chard,750mL,27,8.99,2024-12-31
10_HORNSEY_4524,10,HORNSEY,4524,Smoky Quartz Granite Cst Rum,750mL,10,27.49,2024-12-31
73_DONCASTER_26821,73,DONCASTER,26821,Estancia Merlot Central Cst,750mL,19,9.99,2024-12-31
55_DRY GULCH_26495,55,DRY GULCH,26495,Buglioni Disperato Bianco,750mL,17,18.99,2024-12-31
6_GOULCREST_41970,6,GOULCREST,41970,Troublemaker Red,750mL,5,14.99,2024-12-31
49_GARIGILL_1848,49,GARIGILL,1848,Oban Little Bay Single Malt,750mL,1,59.99,2024-12-31
44_PORTHCRAWL_2686,44,PORTHCRAWL,2686,AnCnoc 12 Yr Old Scotch,750mL,6,37.99,2024-12-31
8_ALNERWICK_3150,8,ALNERWICK,3150,Svedka Mango Pineapple Vodka,750mL,7,10.99,2024-12-31
67_EANVERNESS_7951,67,EANVERNESS,7951,Auchentoshan Three Wood,750mL,10,69.99,2024-12-31
34_PITMERDEN_21834,34,PITMERDEN,21834,Meiomi Chard,750mL,7,14.99,2024-12-31
72_HARDERSFIELD_3626,72,HARDERSFIELD,3626,Sauza Extra Gold Tequila,750mL,32,12.99,2024-12-31
15_WANBORNE_26814,15,WANBORNE,26814,Simonnet-Febvre 14 Chablis,750mL,8,16.99,2024-12-31
50_MOUNTMEND_8473,50,MOUNTMEND,8473,1800 Silver Tequila,1.75L,36,41.99,2024-12-31
70_KELD_5627,70,KELD,5627,Flag Hill Sugar Maple Liquer,375mL,5,18.99,2024-12-31
76_DONCASTER_23516,76,DONCASTER,23516,Chloe Pnt Nr,750mL,22,10.99,2024-12-31
26_KNIFE'S EDGE_4222,26,KNIFE'S EDGE,4222,Bacardi Gold Rum,750mL,7,9.99,2024-12-31
1_HARDERSFIELD_26426,1,HARDERSFIELD,26426,Pommery Brut Royale,750mL,6,29.99,2024-12-31
64_CESTERFIELD_2219,64,CESTERFIELD,2219,Crown Royal Vanilla,50mL,33,1.99,2024-12-31
61_AETHELNEY_25678,61,AETHELNEY,25678,Ch Recougne Brdx Superieur,750mL,9,13.99,2024-12-31
4_EANVERNESS_15295,4,EANVERNESS,15295,Flip Flop Pnt Grigio,750mL,15,4.99,2024-12-31
77_TAMWORTH_7990,77,TAMWORTH,7990,Noilly Prat Sweet Vermouth,Liter,11,9.99,2024-12-31
9_BLACKPOOL_10058,9,BLACKPOOL,10058,F Coppola Dmd Ivry Cab Svgn,750mL,12,14.99,2024-12-31
75_BARNCOMBE_11970,75,BARNCOMBE,11970,Zaccagnini Montepulciano Rsv,750mL,5,14.99,2024-12-31
35_HALIVAARA_39708,35,HALIVAARA,39708,R Mondavi Pvt Sln Pnt Grigio,750mL,18,8.99,2024-12-31
49_GARIGILL_759,49,GARIGILL,759,Bunnahabhain 12 Yr Single,750mL,4,59.99,2024-12-31
27_MOUNTMEND_753,27,MOUNTMEND,753,LaBelle Winery Blueberry,750mL,72,19.99,2024-12-31
57_LANTEGLOS_1415,57,LANTEGLOS,1415,Old Grand Dad,750mL,11,13.99,2024-12-31
30_CULCHETH_5713,30,CULCHETH,5713,DeKuyper Sour Apple Pucker,1.75L,9,16.99,2024-12-31
2_ASHBORNE_3731,2,ASHBORNE,3731,Absolut Apeach,750mL,11,17.99,2024-12-31
28_LARNWICK_4199,28,LARNWICK,4199,Sauza Blanco Tequila,1.75L,40,21.99,2024-12-31
44_PORTHCRAWL_3704,44,PORTHCRAWL,3704,Ciroc Pineapple Vodka,750mL,57,24.99,2024-12-31
44_PORTHCRAWL_3560,44,PORTHCRAWL,3560,Ciroc Amaretto Vodka,375mL,2,15.49,2024-12-31
57_LANTEGLOS_3396,57,LANTEGLOS,3396,Smirnoff Vanilla Vodka,1.75L,5,18.99,2024-12-31
32_MOUNTMEND_8630,32,MOUNTMEND,8630,Fontana Candida Frascati,750mL,5,9.99,2024-12-31
11_CARDEND_17595,11,CARDEND,17595,Ch La Gordonne Rose,750mL,2,16.99,2024-12-31
6_GOULCREST_3923,6,GOULCREST,3923,Don Julio 1942 Anejo Tequila,750mL,5,133.99,2024-12-31
64_CESTERFIELD_19175,64,CESTERFIELD,19175,Melini Chianti DOCG Riserva,750mL,14,11.99,2024-12-31
53_HILLFAR_31494,53,HILLFAR,31494,Barefoot Merlot Cal,1.5L,8,10.99,2024-12-31
53_HILLFAR_652,53,HILLFAR,652,Frangelico Gift Pack 2 Glass,750mL,1,21.99,2024-12-31
43_WOLFORD_8469,43,WOLFORD,8469,1800 Reposado Gold Tequila,750mL,9,22.99,2024-12-31
2_ASHBORNE_10239,2,ASHBORNE,10239,Cannonball Cab Svgn Cal,750mL,7,13.99,2024-12-31
34_PITMERDEN_25699,34,PITMERDEN,25699,Havens Merlot Napa 13,750mL,101,19.99,2024-12-31
73_DONCASTER_8725,73,DONCASTER,8725,Chambord Royale de France,375mL,19,15.99,2024-12-31
55_DRY GULCH_17867,55,DRY GULCH,17867,Beringer Classic Wh Zin Mosc,750mL,22,6.99,2024-12-31
4_EANVERNESS_5185,4,EANVERNESS,5185,Irish Manor Irish Cream,1.75L,16,19.99,2024-12-31
76_DONCASTER_17341,76,DONCASTER,17341,Lobster & Shrimp Muscadet,750mL,17,7.99,2024-12-31
21_BALERNO_3388,21,BALERNO,3388,Seagrams Extra Dry Gin,750mL,10,9.99,2024-12-31
46__8504,46,,8504,R M Woodbridge Cab Svgn Cal,1.5L,0,8.99,2024-12-31
32_MOUNTMEND_14004,32,MOUNTMEND,14004,Layer Cake Chard,750mL,5,12.99,2024-12-31
51_ABERDEEN_22531,51,ABERDEEN,22531,BV Coastal Estate Chard,750mL,16,7.99,2024-12-31
1_HARDERSFIELD_4174,1,HARDERSFIELD,4174,Kraken Black Spiced Rum 94P,1.75L,11,28.99,2024-12-31
23_ARBINGTON_13779,23,ARBINGTON,13779,Banfi Centine Rose Toscana,750mL,3,9.99,2024-12-31
50_MOUNTMEND_45457,50,MOUNTMEND,45457,R Mondavi Meritage Pvt Slctn,750mL,12,8.99,2024-12-31
7_STANMORE_3827,7,STANMORE,3827,Popov Vodka,1.75L,29,12.99,2024-12-31
69_MOUNTMEND_32604,69,MOUNTMEND,32604,Kendall Jackson Vt RSV Syrah,750mL,5,9.99,2024-12-31
66_EANVERNESS_5656,66,EANVERNESS,5656,Cabin Fever Maple Liqueur,50mL,0,1.49,2024-12-31
33_HORNSEY_24294,33,HORNSEY,24294,La Gr Comtadine Vacqueyras C,750mL,6,19.99,2024-12-31
34_PITMERDEN_17294,34,PITMERDEN,17294,Defesa Tinto Red Alentejo,750mL,4,12.99,2024-12-31
13_TARMSWORTH_28214,13,TARMSWORTH,28214,Lagaria Venezie Pnt Grigio,750mL,12,11.99,2024-12-31
7_STANMORE_5820,7,STANMORE,5820,Dr McGillicuddy's Peppermint,750mL,29,13.99,2024-12-31
28_LARNWICK_3231,28,LARNWICK,3231,Pinnacle Tropical Punch Vdka,750mL,14,10.99,2024-12-31
48_NORFOLK_6256,48,NORFOLK,6256,Sutter Home Chard,1.5L,10,9.99,2024-12-31
24_PALPERROTH_7345,24,PALPERROTH,7345,M & R Asti,750mL,41,10.99,2024-12-31
68_SOLARIS_5396,68,SOLARIS,5396,Tia Maria Coffee Liqueur,750mL,13,16.99,2024-12-31
38_GOULCREST_24817,38,GOULCREST,24817,Mirassou Pnt Nr,1.5L,17,17.99,2024-12-31
75_BARNCOMBE_4130,75,BARNCOMBE,4130,Kraken Black Spiced Rum 94P,375mL,6,11.99,2024-12-31
69_MOUNTMEND_3943,69,MOUNTMEND,3943,Skyy Barcraft White Sangria,750mL,6,11.99,2024-12-31
74_PAENTMARWY_39648,74,PAENTMARWY,39648,Ch Ste Michelle Indn W Chard,750mL,8,14.99,2024-12-31
20_BREDWARDINE_38822,20,BREDWARDINE,38822,Castano Yecla Monastrell Red,750mL,8,11.99,2024-12-31
49_GARIGILL_6692,49,GARIGILL,6692,Jaboulet Cotes du Rhone Par,750mL,58,12.99,2024-12-31
55_DRY GULCH_2611,55,DRY GULCH,2611,Dewar's 15 Yr Old Rsv,750mL,5,39.99,2024-12-31
10_HORNSEY_3412,10,HORNSEY,3412,Skyy Infusions Pineapple,750mL,16,12.99,2024-12-31
56_BEGGAR'S HOLE_8021,56,BEGGAR'S HOLE,8021,Glenfiddich Special Rsv 12,750mL,5,42.99,2024-12-31
4_EANVERNESS_15619,4,EANVERNESS,15619,Beringer Classic Red Moscato,750mL,72,6.99,2024-12-31
56_BEGGAR'S HOLE_31231,56,BEGGAR'S HOLE,31231,Nobilo Svgn Bl MarlborougH,750mL,22,9.99,2024-12-31
24_PALPERROTH_42874,24,PALPERROTH,42874,Decoy by Duckhorn Red,750mL,22,16.95,2024-12-31
43_WOLFORD_40425,43,WOLFORD,40425,Mionetto Prosecco Brut,750mL,3,10.99,2024-12-31
36_LEWES_4689,36,LEWES,4689,Hennessy Privilege VSOP,750mL,24,46.99,2024-12-31
74_PAENTMARWY_2668,74,PAENTMARWY,2668,Dewars White Label,375mL,48,13.99,2024-12-31
34_PITMERDEN_8452,34,PITMERDEN,8452,Cruzan Aged Light Rum,1.75L,16,16.99,2024-12-31
70_KELD_27361,70,KELD,27361,Borsao Campo de Borja Red,750mL,6,10.99,2024-12-31
73_DONCASTER_7320,73,DONCASTER,7320,Malibu Rum Punch RTD,1.75L,9,17.99,2024-12-31
69_MOUNTMEND_27879,69,MOUNTMEND,27879,I Perazzi La Mozza Sangioves,750mL,12,17.99,2024-12-31
